txn_id,customer_id,order_id,amount,currency,payment_status,payment_method,txn_timestamp,gateway_reference
TXN-0001,CUST-1001,ORD-2001,62.5,USD,success,card,2025-04-28T11:00:00,GW-TXN-0001
TXN-0002,CUST-1002,ORD-2002,75.0,USD,success,ach,2025-04-28T12:00:00,GW-TXN-0002
TXN-0003,CUST-1003,ORD-2003,87.5,USD,success,card,2025-04-28T13:00:00,GW-TXN-0003
TXN-0004,CUST-1004,ORD-2004,100.0,USD,success,ach,2025-04-28T14:00:00,GW-TXN-0004
TXN-0005,CUST-1005,ORD-2005,112.5,USD,success,card,2025-04-28T15:00:00,GW-TXN-0005
TXN-0006,CUST-1006,ORD-2006,125.0,USD,success,ach,2025-04-28T16:00:00,GW-TXN-0006
TXN-0007,CUST-1007,ORD-2007,137.5,USD,success,card,2025-04-28T17:00:00,GW-TXN-0007
TXN-0008,CUST-1008,ORD-2008,150.0,USD,success,ach,2025-04-28T18:00:00,GW-TXN-0008
TXN-0009,CUST-1009,ORD-2009,162.5,USD,success,card,2025-04-28T19:00:00,GW-TXN-0009
TXN-0010,CUST-1010,ORD-2010,175.0,USD,success,ach,2025-04-28T20:00:00,GW-TXN-0010
TXN-CROSS-01,CUST-9001,ORD-9001,250.0,USD,success,card,2025-04-30T23:55:00,GW-CROSS-01
TXN-ROUND-01,CUST-9002,ORD-9002,99.99,USD,success,card,2025-04-30T10:00:00,GW-ROUND-01
TXN-DUP-01,CUST-9003,ORD-9003,500.0,USD,success,ach,2025-05-01T10:00:00,GW-DUP-01
TXN-PARTIAL-01,CUST-9004,ORD-9004,300.0,USD,success,card,2025-05-02T10:00:00,GW-PARTIAL-01
TXN-OVER-01,CUST-9005,ORD-9005,150.0,USD,success,card,2025-05-03T10:00:00,GW-OVER-01
TXN-FAILED-01,CUST-9006,ORD-9006,200.0,USD,failed,card,2025-05-04T10:00:00,GW-FAILED-01
TXN-MISSING-01,CUST-9007,ORD-9007,420.0,USD,success,ach,2025-05-06T10:00:00,GW-MISSING-01
TXN-DELAY-01,CUST-9008,ORD-9008,180.0,USD,success,card,2025-04-29T10:00:00,GW-DELAY-01
