settlement_id,txn_id,settled_amount,settlement_status,settlement_date,gateway_fee,tax,bank_reference
STL-0001,TXN-0001,62.5,settled,2025-04-29T11:00:00,1.81,0.63,BANK-0001
STL-0002,TXN-0002,75.0,settled,2025-04-29T12:00:00,2.18,0.75,BANK-0002
STL-0003,TXN-0003,87.5,settled,2025-04-29T13:00:00,2.54,0.88,BANK-0003
STL-0004,TXN-0004,100.0,settled,2025-04-29T14:00:00,2.9,1.0,BANK-0004
STL-0005,TXN-0005,112.5,settled,2025-04-29T15:00:00,3.26,1.13,BANK-0005
STL-0006,TXN-0006,125.0,settled,2025-04-29T16:00:00,3.63,1.25,BANK-0006
STL-0007,TXN-0007,137.5,settled,2025-04-29T17:00:00,3.99,1.38,BANK-0007
STL-0008,TXN-0008,150.0,settled,2025-04-29T18:00:00,4.35,1.5,BANK-0008
STL-0009,TXN-0009,162.5,settled,2025-04-29T19:00:00,4.71,1.63,BANK-0009
STL-0010,TXN-0010,175.0,settled,2025-04-29T20:00:00,5.08,1.75,BANK-0010
STL-CROSS-01,TXN-CROSS-01,250.0,settled,2025-05-02T10:00:00,7.25,2.5,BANK-CROSS-01
STL-ROUND-01,TXN-ROUND-01,99.97,settled,2025-05-01T10:00:00,2.9,1.0,BANK-ROUND-01
STL-DUP-01-0,TXN-DUP-01,500.0,settled,2025-05-02T10:00:00,14.5,5.0,BANK-DUP-01-0
STL-DUP-01-1,TXN-DUP-01,500.0,settled,2025-05-03T10:00:00,14.5,5.0,BANK-DUP-01-1
STL-PARTIAL-01,TXN-PARTIAL-01,250.0,settled,2025-05-03T10:00:00,7.25,2.5,BANK-PARTIAL-01
STL-OVER-01,TXN-OVER-01,175.0,settled,2025-05-04T10:00:00,5.08,1.75,BANK-OVER-01
STL-FAILED-01,TXN-FAILED-01,200.0,settled,2025-05-05T10:00:00,5.8,2.0,BANK-FAILED-01
STL-NULL-01,,88.0,settled,2025-05-05T10:00:00,2.55,0.88,BANK-NULL-01
STL-DELAY-01,TXN-DELAY-01,180.0,settled,2025-05-03T10:00:00,5.22,1.8,BANK-DELAY-01
